Citation,x,y,cluster,keywords,Index,Full Name,ACM Fellow Profile,DBLP profile,Google Scholar Profile,image_url
for contributions to stochastic analysis of parallel storage and communication systems.,0.26007548,5.0598507,9,"memory, systems, distributed, parallel, computing",742,John Chi-Shing Lui,https://awards.acm.org/award-recipients/lui_4411187,https://dblp.org/pid/l/JohnCSLui,,
for contributions to database management systems and data access technologies.,1.881253,6.1603036,5,"query, systems, data, management, database",743,Jose A Blakeley,https://awards.acm.org/award-recipients/blakeley_2189942,https://dblp.org/pid/79/2594,,
for contributions to database systems and data management.,2.0633109,6.1401544,5,"query, systems, data, management, database",744,Joseph M Hellerstein,https://awards.acm.org/award-recipients/hellerstein_4354833,https://dblp.org/pid/h/JosephMHellerstein,,
"for contributions to program analysis of procedural, object-oriented and aspect-oriented programming languages.",-1.5804166,7.6411037,3,"systems, verification, languages, software, programming",745,Laurie J Hendren,https://awards.acm.org/award-recipients/hendren_2327567,https://dblp.org/pid/h/LaurieJHendren,,
for contributions in power-aware computing.,-0.3876217,4.909015,9,"memory, systems, distributed, parallel, computing",746,Margaret Martonosi,https://awards.acm.org/award-recipients/martonosi_4125274,https://dblp.org/pid/m/MargaretMartonosi,https://scholar.google.com/citations?user=tgYsFS0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=tgYsFS0AAAAJ
for his contributions to program analysis for parallel computing and techniques for enabling software systems to execute successfully in the face of errors and failures.,-0.6101014,5.70337,9,"memory, systems, distributed, parallel, computing",747,Martin Rinard,https://awards.acm.org/award-recipients/rinard_NA19107,https://dblp.org/pid/r/MartinCRinard,https://scholar.google.com/citations?user=hxlxVEUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hxlxVEUAAAAJ
for contributions to multimedia compression and communication.,2.06602,3.3781798,8,"protocols, internet, systems, networks, wireless",748,Martin Vetterli,https://awards.acm.org/award-recipients/vetterli_8616534,https://dblp.org/pid/v/MVetterli,https://scholar.google.com/citations?user=YQcU3NYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=YQcU3NYAAAAJ
for contributions to data structures and algorithms for combinatorial and geometric problems.,3.8689568,9.258841,2,"combinatorial, computational, theory, complexity, algorithms",749,Michael T Goodrich,https://awards.acm.org/award-recipients/goodrich_2308013,https://dblp.org/pid/g/MichaelTGoodrich,https://scholar.google.com/citations?user=sSS9gSoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=sSS9gSoAAAAJ
for distinguished service to the acm and her impact on computing education.,-0.24463946,9.551547,4,"service, science, computing, acm, computer",750,Nell B. Dale,https://awards.acm.org/award-recipients/dale_1569201,https://dblp.org/pid/13/1761,,
for contributions to relational database technology.,1.4137795,6.546242,5,"query, systems, data, management, database",751,Patricia G. Selinger,https://awards.acm.org/award-recipients/selinger_UK15837,https://dblp.org/pid/48/1954,,
"for contributions to geometric computing and applications to computer graphics, robotics and gpu computing.",4.8384395,9.014159,6,"rendering, image, graphics, computer, vision",752,Dinesh Manocha,https://awards.acm.org/award-recipients/manocha_4274957,https://dblp.org/pid/m/DineshManocha,https://scholar.google.com/citations?user=X08l_4IAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=X08l_4IAAAAJ
"for contributions to symbolic and algebraic computation, algebraic algorithms and complexity theory.",2.107223,8.907318,2,"combinatorial, computational, theory, complexity, algorithms",753,Erich L Kaltofen,https://awards.acm.org/award-recipients/kaltofen_1728641,https://dblp.org/pid/k/ErichKaltofen,,
for contributions to data management and knowledge representation.,2.1839848,6.91264,5,"query, systems, data, management, database",754,Maurizio Lenzerini,https://awards.acm.org/award-recipients/lenzerini_3958543,https://dblp.org/pid/l/MLenzerini,https://scholar.google.com/citations?user=EYxaICEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=EYxaICEAAAAJ
for contributions to dependable and secure distributed computing.,0.4686908,4.3588924,9,"memory, systems, distributed, parallel, computing",755,Paulo Esteves-Verissimo,https://awards.acm.org/award-recipients/esteves-verissimo_4862710,https://dblp.org/pid/v/PauloVerissimo,,
for contributions to recommender systems and to social and collaborative computing.,3.8346665,6.1380343,1,"machine, natural, artificial, intelligence, learning",756,John T Riedl,https://awards.acm.org/award-recipients/riedl_2663490,https://dblp.org/pid/r/JRiedl,,
"for contributions to physical database design, query processing, and database management system architecture.",1.8311833,6.235874,5,"query, systems, data, management, database",757,Kyu-Young Whang,https://awards.acm.org/award-recipients/whang_1919729,https://dblp.org/pid/w/KyuYoungWhang,https://scholar.google.com/citations?user=LZSo1YEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=LZSo1YEAAAAJ
for contributions to real-time distributed programs and logic programming.,-0.06579958,6.779017,3,"systems, verification, languages, software, programming",758,Rudrapatna K Shyamasundar,https://awards.acm.org/award-recipients/shyamasundar_4395026,https://dblp.org/pid/s/RKShyamasundar,,
"for innovations in metadata management, especially the creation of tools to integrate, transform, query and analyze information.",1.8204684,6.3947215,5,"query, systems, data, management, database",759,RJ Miller,https://awards.acm.org/award-recipients/miller_3973153,,,
for contributions to program analysis and optimization and sustained professional service to the computer science research community.,1.1247362,8.5072775,4,"service, science, computing, acm, computer",760,Rajiv Gupta,https://awards.acm.org/award-recipients/gupta_3221918,https://dblp.org/pid/181/2697,,
for contributions to the development of algorithms and information retrieval techniques.,4.7964983,6.46867,1,"machine, natural, artificial, intelligence, learning",761,Ricardo A Baeza-Yates,https://awards.acm.org/award-recipients/baeza-yates_2551737,https://dblp.org/pid/b/RABaezaYates,,
for contributions to fault-tolerant distributed computing.,0.49060798,4.4869704,9,"memory, systems, distributed, parallel, computing",762,Robbert Van Renesse,https://awards.acm.org/award-recipients/vanrenesse_3038106,https://dblp.org/pid/r/RvRenesse,https://scholar.google.com/citations?user=uJbM58UAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=uJbM58UAAAAJ
"for contributions to ai, natural language processing, hci, and human-centered design.",5.304297,6.6704803,1,"machine, natural, artificial, intelligence, learning",763,Terry Winograd,https://awards.acm.org/award-recipients/winograd_2634855,https://dblp.org/pid/w/TerryWinograd,,
for contributions to interaction design and social computing and for outstanding service to acm.,3.8374057,5.5769725,7,"cooperative, computing, computer, interaction, human",764,Thomas D Erickson,https://awards.acm.org/award-recipients/erickson_3354016,,,
for the development of dynamic bayes networks and anytime algorithms.,2.8630216,8.283918,1,"machine, natural, artificial, intelligence, learning",765,Thomas L Dean,https://awards.acm.org/award-recipients/dean_3342086,https://dblp.org/pid/71/9415,https://scholar.google.com/citations?user=KcdtmI4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=KcdtmI4AAAAJ
"for the design, engineering and operation of energy efficient large-scale cloud computing systems.",-1.1500995,4.024598,9,"memory, systems, distributed, parallel, computing",766,Urs Hoelzle,https://awards.acm.org/award-recipients/hoelzle_2674646,https://dblp.org/pid/h/UrsHolzle,https://scholar.google.com/citations?user=3ox8XlUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=3ox8XlUAAAAJ
"for contributions to handwritten document image analysis, recognition, and retrieval.",6.272721,8.417187,1,"machine, natural, artificial, intelligence, learning",767,Venu Govindaraju,https://awards.acm.org/award-recipients/govindaraju_5180419,https://dblp.org/pid/g/VenuGovindaraju,https://scholar.google.com/citations?user=ruIgbscAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ruIgbscAAAAJ
for research on meaning-based understanding of natural language by computers.,5.32937,6.7200503,1,"machine, natural, artificial, intelligence, learning",768,Yorick Wilks,https://awards.acm.org/award-recipients/wilks_2710333,https://dblp.org/pid/w/YorickWilks,https://scholar.google.com/citations?user=NsHFYDcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NsHFYDcAAAAJ
for contributions to the analysis of large data sets and data streams.,3.0448053,6.4696827,1,"machine, natural, artificial, intelligence, learning",769,Yossi Matias,https://awards.acm.org/award-recipients/matias_4099198,https://dblp.org/pid/m/YossiMatias,https://scholar.google.com/citations?user=IwSe1-MAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=IwSe1-MAAAAJ
for fundamental contributions to personal computing and object-oriented programming.,-1.4861788,7.6748548,3,"systems, verification, languages, software, programming",770,Alan Kay,https://awards.acm.org/award-recipients/kay_3972189,https://dblp.org/pid/k/AlanCKay,https://scholar.google.com/citations?user=HTuwJ_EAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=HTuwJ_EAAAAJ
for contributions to programming language theory and systems.,-1.2944913,7.4560246,3,"systems, verification, languages, software, programming",771,Alex Aiken,https://awards.acm.org/award-recipients/aiken_4206082,https://dblp.org/pid/a/AAiken,https://scholar.google.com/citations?user=3vKjkoQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=3vKjkoQAAAAJ
for contributions to software engineering and programming languages.,-1.6919475,7.7164807,3,"systems, verification, languages, software, programming",772,Bertrand Meyer,https://awards.acm.org/award-recipients/meyer_0256073,https://dblp.org/pid/m/BertrandMeyer,https://scholar.google.com/citations?user=W8nOgCwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=W8nOgCwAAAAJ
for contributions to dependable computing and computer history.,0.16430421,7.8078685,4,"service, science, computing, acm, computer",773,Brian Randell,https://awards.acm.org/award-recipients/randell_1049162,https://dblp.org/pid/r/BrianRandell,https://scholar.google.com/citations?user=5sqk-sYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=5sqk-sYAAAAJ
for distinguished service and contributions to acm and the computing community.,-0.31093404,9.572937,4,"service, science, computing, acm, computer",774,Charles H House,https://awards.acm.org/award-recipients/house_4788345,https://dblp.org/pid/47/1089,,
for contributions to distributed computing.,0.55283475,5.0280933,9,"memory, systems, distributed, parallel, computing",775,Douglas B Terry,https://awards.acm.org/award-recipients/terry_1854348,https://dblp.org/pid/06/965,,
for contributions to query processing and query languages.,2.5546403,6.1734147,5,"query, systems, data, management, database",776,Hamid Pirahesh,https://awards.acm.org/award-recipients/pirahesh_1636471,https://dblp.org/pid/p/HamidPirahesh,https://scholar.google.com/citations?user=QQVlcOUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=QQVlcOUAAAAJ
"for contributions to ubiquitous computing research, with emphasis on applications for education, home and health.",3.7690911,4.390204,7,"cooperative, computing, computer, interaction, human",777,Gregory D. Abowd,https://awards.acm.org/award-recipients/abowd_N984112,https://dblp.org/pid/a/GDAbowd,https://scholar.google.com/citations?user=gb8sbdcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=gb8sbdcAAAAJ
for contributions to computer networking and distributed systems.,1.4500805,3.9471464,8,"protocols, internet, systems, networks, wireless",778,Hari Balakrishnan,https://awards.acm.org/award-recipients/balakrishnan_4417077,https://dblp.org/pid/b/HariBalakrishnan,https://scholar.google.com/citations?user=Qf4bw4UAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Qf4bw4UAAAAJ
for contributions to algorithms and data structures.,3.6222005,9.085553,2,"combinatorial, computational, theory, complexity, algorithms",779,Ian Munro,https://awards.acm.org/award-recipients/munro_1108943,https://dblp.org/pid/m/JIanMunro,https://scholar.google.com/citations?user=O55rM6QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=O55rM6QAAAAJ
for contributions to the theory and design of computer communication protocols.,1.7252234,2.996838,8,"protocols, internet, systems, networks, wireless",780,J.J. Garcia-Luna-Aceves,https://awards.acm.org/award-recipients/garcia-luna-aceves_4494258,https://dblp.org/pid/g/JJGarciaLunaAceves,https://scholar.google.com/citations?user=wLtmXGQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=wLtmXGQAAAAJ
for contributions in compiler design and implementation.,-1.4603848,6.4238224,3,"systems, verification, languages, software, programming",781,Jack Davidson,https://awards.acm.org/award-recipients/davidson_1513993,https://dblp.org/pid/d/JWDavidson,https://scholar.google.com/citations?user=-oXW2RYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-oXW2RYAAAAJ
for contributions to electronic design automation.,-2.3674817,5.05818,3,"systems, verification, languages, software, programming",782,Jason Cong,https://awards.acm.org/award-recipients/cong_2957967,https://dblp.org/pid/c/JasonCong,https://scholar.google.com/citations?user=UVGe0gQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=UVGe0gQAAAAJ
for developing the macsyma computer system for formula manipulation.,-0.9086356,7.369936,3,"systems, verification, languages, software, programming",783,Joel Moses,https://awards.acm.org/award-recipients/moses_1041961,https://dblp.org/pid/314/3392,,
for contributions to the theory of programming languages.,-1.2007474,7.2877645,3,"systems, verification, languages, software, programming",784,John C. Mitchell,https://awards.acm.org/award-recipients/mitchell_2036986,https://dblp.org/pid/93/6977,https://scholar.google.com/citations?user=1_kJPIEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=1_kJPIEAAAAJ
for contributions to the architecture and computer-aided design of field-programmable gate arrays (fpgas).,-1.769929,5.139071,3,"systems, verification, languages, software, programming",785,Jonathan Rose,https://awards.acm.org/award-recipients/rose_2230928,https://dblp.org/pid/97/6522,https://scholar.google.com/citations?user=Icox8ecAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Icox8ecAAAAJ
for contributions to human-computer interaction.,4.830826,4.913114,7,"cooperative, computing, computer, interaction, human",786,Joseph A Konstan,https://awards.acm.org/award-recipients/konstan_2923662,https://dblp.org/pid/09/3004,https://scholar.google.com/citations?user=PH4mytYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=PH4mytYAAAAJ
for contributions to human-computer interaction and computer-supported cooperative work.,4.3373046,4.607983,7,"cooperative, computing, computer, interaction, human",787,Judith S Olson,https://awards.acm.org/award-recipients/olson_2607695,https://dblp.org/pid/04/1690,,
for contributions to compilers and memory management.,-1.4274479,6.3495107,3,"systems, verification, languages, software, programming",788,Kathryn S McKinley,https://awards.acm.org/award-recipients/mckinley_3720018,https://dblp.org/pid/m/KSMcKinley,https://scholar.google.com/citations?user=Rt1a5-6vh4UC,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Rt1a5-6vh4UC
for contributions to computational geometry.,4.3611913,9.338038,2,"combinatorial, computational, theory, complexity, algorithms",789,Kenneth Clarkson,https://awards.acm.org/award-recipients/clarkson_4491536,https://dblp.org/pid/220/3513,https://scholar.google.com/citations?user=F7ODi8QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=F7ODi8QAAAAJ
for contributions to algorithms and complexity theory.,2.087015,9.07208,2,"combinatorial, computational, theory, complexity, algorithms",790,Madhu Sudan,https://awards.acm.org/award-recipients/sudan_4863056,https://dblp.org/pid/300/9711,https://scholar.google.com/citations?user=D-RwB3YAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=D-RwB3YAAAAJ
for contributions to the theory and practice of stochastic modeling.,0.80463964,6.3158574,1,"machine, natural, artificial, intelligence, learning",791,Mark S Squillante,https://awards.acm.org/award-recipients/squillante_2571602,https://dblp.org/pid/67/3865,https://scholar.google.com/citations?user=ScmX2AcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ScmX2AcAAAAJ
for contributions to computer security and verification of computer systems.,-2.2280583,6.75652,0,"cryptographic, systems, cryptography, privacy, security",792,Martin Abadi,https://awards.acm.org/award-recipients/abadi_1389428,https://dblp.org/pid/a/MartinAbadi,https://scholar.google.com/citations?user=vWTI60AAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=vWTI60AAAAAJ
for contributions to reinventing virtual machines.,-0.035450455,4.810514,9,"memory, systems, distributed, parallel, computing",793,Mendel Rosenblum,https://awards.acm.org/award-recipients/rosenblum_4094918,https://dblp.org/pid/r/MendelRosenblum,,
for contributions to computer security and fault-tolerant distributed computing.,0.5359557,4.321625,9,"memory, systems, distributed, parallel, computing",794,Michael Reiter,https://awards.acm.org/award-recipients/reiter_NC55657,https://dblp.org/pid/72/6232,https://scholar.google.com/citations?user=GaRxukMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=GaRxukMAAAAJ
for contributions to the theory of approximation algorithms and mathematical programming.,2.8773785,8.824921,2,"combinatorial, computational, theory, complexity, algorithms",795,Michel X Goemans,https://awards.acm.org/award-recipients/goemans_4568770,https://dblp.org/pid/g/MichelXGoemans,,
for contributions to rendering theory and systems.,1.4868503,7.4639506,6,"rendering, image, graphics, computer, vision",796,Pat Hanrahan,https://awards.acm.org/award-recipients/hanrahan_4652251,https://dblp.org/pid/h/PatHanrahan,https://scholar.google.com/citations?user=RzEnQmgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RzEnQmgAAAAJ
for contributions to compiler technology and performance enhancement tools.,-1.4645811,6.2368965,3,"systems, verification, languages, software, programming",797,Paul G Lowney,https://awards.acm.org/award-recipients/lowney_1760495,,,
for contributions to the design of high-performance memory systems.,-0.82175225,4.803582,9,"memory, systems, distributed, parallel, computing",798,Per O Stenstrom,https://awards.acm.org/award-recipients/stenstrom_7463656,,https://scholar.google.com/citations?user=wsMoM6cAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=wsMoM6cAAAAJ
"for contributions to computer music, physics-based sound synthesis and voice analysis/synthesis.",2.0234087,8.441294,6,"rendering, image, graphics, computer, vision",799,Perry Cook,https://awards.acm.org/award-recipients/cook_4412276,https://dblp.org/pid/33/6929,,
for contributions to computer vision.,6.1345673,8.801273,6,"rendering, image, graphics, computer, vision",800,Jitendra Malik,https://awards.acm.org/award-recipients/malik_5874904,https://dblp.org/pid/58/2944,https://scholar.google.com/citations?user=oY9R5YQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=oY9R5YQAAAAJ
for contributions to network control and management systems.,1.4362131,3.6159751,8,"protocols, internet, systems, networks, wireless",801,Jennifer Rexford,https://awards.acm.org/award-recipients/rexford_4157665,https://dblp.org/pid/r/JenniferRexford,https://scholar.google.com/citations?user=07ds-DAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=07ds-DAAAAAJ
for contributions to theorem provers and verification techniques.,-2.24142,7.091412,3,"systems, verification, languages, software, programming",802,Lawrence C Paulson,https://awards.acm.org/award-recipients/paulson_4585196,https://dblp.org/pid/p/LCPaulson,,
for contributions to the interface of algorithmic methodology and game theory.,2.9912214,8.276954,2,"combinatorial, computational, theory, complexity, algorithms",803,Xiaotie Deng,https://awards.acm.org/award-recipients/deng_3732898,https://dblp.org/pid/d/XiaotieDeng,https://scholar.google.com/citations?user=OBUwP_oAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=OBUwP_oAAAAJ
for contributions to computational photography.,5.842059,9.08561,6,"rendering, image, graphics, computer, vision",804,Richard Szeliski,https://awards.acm.org/award-recipients/szeliski_2475143,https://dblp.org/pid/46/2186,https://scholar.google.com/citations?user=3_u1jHQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=3_u1jHQAAAAJ
for contributions to computer-aided design tools for mixed-signal integrated circuits.,-2.287878,4.993383,3,"systems, verification, languages, software, programming",805,Rob A Rutenbar,https://awards.acm.org/award-recipients/rutenbar_1753128,https://dblp.org/pid/r/RobARutenbar,https://scholar.google.com/citations?user=avq8-1QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=avq8-1QAAAAJ
for contributions to software and systems.,1.2446617,7.1647835,3,"systems, verification, languages, software, programming",806,Roy Levin,https://awards.acm.org/award-recipients/levin_1310671,https://dblp.org/pid/83/749,https://scholar.google.com/citations?user=XO-_j40AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=XO-_j40AAAAJ
for foundational work on probabilistically checkable proofs and approximate solutions to np-hard optimization problems.,2.8645363,8.97041,2,"combinatorial, computational, theory, complexity, algorithms",807,Sanjeev Arora,https://awards.acm.org/award-recipients/arora_N027029,https://dblp.org/pid/a/SArora,https://scholar.google.com/citations?user=RUP4S68AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RUP4S68AAAAJ
for fundamental contributions to the theory of computational complexity.,1.9590179,9.063048,2,"combinatorial, computational, theory, complexity, algorithms",808,Stephen A Cook,https://awards.acm.org/award-recipients/cook_N991950,https://dblp.org/pid/c/StephenACook,,
for contributions to combinatorial auctions and mechanism design.,3.115402,9.013136,2,"combinatorial, computational, theory, complexity, algorithms",809,Tuomas Sandholm,https://awards.acm.org/award-recipients/sandholm_4521530,https://dblp.org/pid/s/TuomasSandholm,https://scholar.google.com/citations?user=0DpK1EMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0DpK1EMAAAAJ
"for contributions to managing federated, active, and heterogeneous databases.",1.6915252,5.4568276,5,"query, systems, data, management, database",810,Umeshwar Dayal,https://awards.acm.org/award-recipients/dayal_CR54528,https://dblp.org/pid/76/2198,,
for contributions to technologies for parallel computing.,-0.089321405,5.71322,9,"memory, systems, distributed, parallel, computing",811,Vivek Sarkar,https://awards.acm.org/award-recipients/sarkar_2125300,https://dblp.org/pid/s/VivekSarkar,https://scholar.google.com/citations?user=XjeIqxYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=XjeIqxYAAAAJ
for contributions to software engineering process discipline.,-2.058362,8.459394,3,"systems, verification, languages, software, programming",812,Watts S Humphrey,https://awards.acm.org/award-recipients/humphrey_1884790,https://dblp.org/pid/63/1672,,
for contributions to the field of human-computer interaction.,4.8783216,4.8864527,7,"cooperative, computing, computer, interaction, human",813,William A.S. Buxton,https://awards.acm.org/award-recipients/buxton_7390685,https://dblp.org/pid/b/WilliamBuxton,,
for contributions to program and system verification.,-2.4685273,7.0447097,3,"systems, verification, languages, software, programming",814,Amir Pnueli,https://awards.acm.org/award-recipients/pnueli_4725172,https://dblp.org/pid/p/AmirPnueli,,
for contributions to parallel and reconfigurable computing.,-0.4140356,5.241277,9,"memory, systems, distributed, parallel, computing",815,Anant Agarwal,https://awards.acm.org/award-recipients/agarwal_3320751,https://dblp.org/pid/a/AAgarwal,https://scholar.google.com/citations?user=E6XXUFcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=E6XXUFcAAAAJ
for contributions to algorithms and web technology.,2.4939795,8.2707205,2,"combinatorial, computational, theory, complexity, algorithms",816,Andrei Broder,https://awards.acm.org/award-recipients/broder_N005132,https://dblp.org/pid/09/4301,https://scholar.google.com/citations?user=7b858c0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=7b858c0AAAAJ
for contributions to solid modeling and nanorobotics.,4.680341,8.768,6,"rendering, image, graphics, computer, vision",817,Aristides Requicha,https://awards.acm.org/award-recipients/requicha_1452523,https://dblp.org/pid/42/417,,
for contributions to learning theory and algorithms.,2.7247436,8.358009,2,"combinatorial, computational, theory, complexity, algorithms",818,Avrim Blum,https://awards.acm.org/award-recipients/blum_3732674,https://dblp.org/pid/b/AvrimBlum,https://scholar.google.com/citations?user=Jlv4MR4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Jlv4MR4AAAAJ
for contributions to database theory.,2.075025,6.2594814,5,"query, systems, data, management, database",819,Catriel Beeri,https://awards.acm.org/award-recipients/beeri_1289180,https://dblp.org/pid/b/CBeeri,,
for contributions to computer vision.,6.220159,8.712536,6,"rendering, image, graphics, computer, vision",820,Daniel Huttenlocher,https://awards.acm.org/award-recipients/huttenlocher_3791746,https://dblp.org/pid/h/DPHuttenlocher,https://scholar.google.com/citations?user=q16KVs0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=q16KVs0AAAAJ
for contributions to fault-tolerant distributed computing.,0.44623506,4.496638,9,"memory, systems, distributed, parallel, computing",821,Danny Dolev,https://awards.acm.org/award-recipients/dolev_1711167,https://dblp.org/pid/d/DannyDolev,https://scholar.google.com/citations?user=RAt7zSUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RAt7zSUAAAAJ
for contributions to compiler support for parallel computing.,-0.9487469,5.937594,9,"memory, systems, distributed, parallel, computing",822,David Padua,https://awards.acm.org/award-recipients/padua_4317590,https://dblp.org/pid/p/DavidAPadua,https://scholar.google.com/citations?user=QaLf6bEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=QaLf6bEAAAAJ
for contributions to computer-aided design of integrated circuits and systems.,-2.2947156,4.9567704,3,"systems, verification, languages, software, programming",823,Donald E Thomas,https://awards.acm.org/award-recipients/thomas_1644756,https://dblp.org/pid/t/DonaldEThomas,,
for contributions to networking standards and internet applications.,1.5474216,3.207764,8,"protocols, internet, systems, networks, wireless",824,John C Klensin,https://awards.acm.org/award-recipients/klensin_1101344,https://dblp.org/pid/20/1355,,
for contributions to artificial intelligence.,3.6357372,7.5820403,1,"machine, natural, artificial, intelligence, learning",825,Edward A Feigenbaum,https://awards.acm.org/award-recipients/feigenbaum_4167235,https://dblp.org/pid/f/EdwardAFeigenbaum,,
for contributions to security and the public policy of information technology.,2.8983083,4.942603,0,"cryptographic, systems, cryptography, privacy, security",826,Edward Felten,https://awards.acm.org/award-recipients/felten_5140041,https://dblp.org/pid/f/EdwardWFelten,https://scholar.google.com/citations?user=watx0IAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=watx0IAAAAAJ
for contributions in transactions and memory management.,0.5009148,5.4312797,5,"query, systems, data, management, database",827,Eliot Moss,https://awards.acm.org/award-recipients/moss_1491653,https://dblp.org/pid/m/JEliotBMoss,https://scholar.google.com/citations?user=yYtaDFUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=yYtaDFUAAAAJ
"for the design of scalable, reliable internet services.",1.0807309,4.2600346,8,"protocols, internet, systems, networks, wireless",828,Eric A. Brewer,https://awards.acm.org/award-recipients/brewer_UI34063,https://dblp.org/pid/b/EricABrewer,,
for contributions to computer science education.,-0.5219892,8.6138315,4,"service, science, computing, acm, computer",829,Eric S Roberts,https://awards.acm.org/award-recipients/roberts_2086759,https://dblp.org/pid/75/4255,,
for contributions to computer-supported collaborative work.,4.27279,4.572284,7,"cooperative, computing, computer, interaction, human",830,Gary M Olson,https://awards.acm.org/award-recipients/olson_2607703,https://dblp.org/pid/o/GaryMOlson,https://scholar.google.com/citations?user=4XyoYbAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4XyoYbAAAAAJ
for contributions to the theory of artificial intelligence and database systems.,2.2910342,6.9541097,1,"machine, natural, artificial, intelligence, learning",831,Georg Gottlob,https://awards.acm.org/award-recipients/gottlob_2684009,https://dblp.org/pid/g/GeorgGottlob,https://scholar.google.com/citations?user=i72_SkUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=i72_SkUAAAAJ
for contributions to multiprocessor computers and compiler optimization techniques.,-1.0655111,5.8886538,9,"memory, systems, distributed, parallel, computing",832,Guang Gao,https://awards.acm.org/award-recipients/gao_1954601,https://dblp.org/pid/18/5633,https://scholar.google.com/citations?user=KYj0CvEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=KYj0CvEAAAAJ
for contributions to content-based analysis and retrieval of multimedia.,6.0302625,8.127986,1,"machine, natural, artificial, intelligence, learning",833,HongJiang Zhang,https://awards.acm.org/award-recipients/zhang_NC44438,https://dblp.org/pid/z/HongJiangZhang,https://scholar.google.com/citations?user=u6wmNbQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=u6wmNbQAAAAJ
